"ensembl_gene_id","gene_symbol","description","gene_biotype","chromosome","start","end"
"FBgn0000183","BicD","Bicaudal D","protein_coding","2L",17459605,17473215
"FBgn0000206","boss","bride of sevenless","protein_coding","3R",25961994,25966948
"FBgn0000212","brm","brahma","protein_coding","3L",15970082,15982869
"FBgn0000216","Brd","Bearded","protein_coding","3L",14972667,14973198
"FBgn0000221","brn","brainiac","protein_coding","X",4104342,4105791
"FBgn0000227","Elba1","Early boundary activity 1","protein_coding","2L",4683052,4684461
"FBgn0000228","Nin","Ninein","protein_coding","2L",5271728,5278548
"FBgn0000229","bsk","basket","protein_coding","2L",10247502,10250501
"FBgn0000233","btd","buttonhead","protein_coding","X",9694186,9697558
"FBgn0000239","bur","burgundy","protein_coding","2L",21174182,21179683
"FBgn0000241","bw","brown","protein_coding","2R",23527805,23538499
"FBgn0000244","by","blistery","protein_coding","3R",9528238,9533011
"FBgn0000246","c(3)G","crossover suppressor on 3 of Gowen","protein_coding","3R",15789473,15792579
"FBgn0000247","ca","claret","protein_coding","3R",29806811,29815047
"FBgn0000250","cact","cactus","protein_coding","2L",16313036,16326207
"FBgn0000251","cad","caudal","protein_coding","2L",20770731,20783135
"FBgn0000253","Cam","Calmodulin","protein_coding","2R",12259398,12278809
"FBgn0000256","capu","cappuccino","protein_coding","2L",3872646,3902860
"FBgn0000257","car","carnation","protein_coding","X",19566019,19569401
"FBgn0000259","CkIIbeta","Casein kinase II beta subunit","protein_coding","X",11792533,11801587
"FBgn0000261","Cat","Catalase","protein_coding","3L",18822604,18828188
"FBgn0000273","Pka-C1","Protein kinase, cAMP-dependent, catalytic subunit 1","protein_coding","2L",9682315,9699297
"FBgn0000274","Pka-C2","Protein kinase, cAMP-dependent, catalytic subunit 2","protein_coding","3R",30695537,30697138
"FBgn0000276","CecA1","Cecropin A1","protein_coding","3R",30210874,30211273
"FBgn0000277","CecA2","Cecropin A2","protein_coding","3R",30212156,30212568
"FBgn0000278","CecB","Cecropin B","protein_coding","3R",30213315,30213797
"FBgn0000279","CecC","Cecropin C","protein_coding","3R",30216484,30216938
"FBgn0000280","Cec-Psi1","Cecropin pseudogene 1","pseudogene","3R",30211527,30211753
"FBgn0000281","Cec2","Cecropin 2","pseudogene","3R",30212903,30213142
"FBgn0000283","Cp190","Centrosomal protein 190kD","protein_coding","3R",15270432,15275241
"FBgn0000286","Cf2","Chorion factor 2","protein_coding","2L",4876891,4883107
"FBgn0000287","salr","spalt-related","protein_coding","2L",11358873,11373636
"FBgn0000289","cg","combgap","protein_coding","2R",14173693,14182838
"FBgn0000299","Col4a1","Collagen type IV alpha 1","protein_coding","2L",5029609,5037279
"FBgn0000303","ChAT","Choline acetyltransferase","protein_coding","3R",18705501,18732344
"FBgn0000307","chif","chiffon","protein_coding","2L",16342430,16352628
"FBgn0000308","chic","chickadee","protein_coding","2L",5972115,5981018
"FBgn0000316","cin","cinnamon","protein_coding","X",255674,258469
"FBgn0000317","ck","crinkled","protein_coding","2L",15044963,15057862
"FBgn0000318","cl","clot","protein_coding","2L",5520135,5521382
"FBgn0000319","Chc","Clathrin heavy chain","protein_coding","X",15827986,15835490
"FBgn0000320","eya","eyes absent","protein_coding","2L",6527447,6546976
"FBgn0000326","clt","cricklet","protein_coding","2R",21617061,21619079
"FBgn0000330","cm","carmine","protein_coding","X",7009006,7011145
"FBgn0000337","cn","cinnabar","protein_coding","2R",7782797,7785067
"FBgn0000339","cni","cornichon","protein_coding","2L",16309292,16310726
"FBgn0000346","comt","comatose","protein_coding","X",13259021,13262488
"FBgn0000351","cort","cortex","protein_coding","2L",6674682,6676635
"FBgn0000352","cos","costa","protein_coding","2R",7382176,7387115
"FBgn0000355","Cp15","Chorion protein 15","protein_coding","3L",8728481,8729066
"FBgn0000356","Cp16","Chorion protein 16","protein_coding","3L",8731944,8732599
"FBgn0000357","Cp18","Chorion protein 18","protein_coding","3L",8726791,8727613
"FBgn0000358","Cp19","Chorion protein 19","protein_coding","3L",8729865,8730604
"FBgn0000359","Cp36","Chorion protein 36","protein_coding","X",8479319,8480523
"FBgn0000360","Cp38","Chorion protein 38","protein_coding","X",8481837,8483311
"FBgn0000370","crc","cryptocephal","protein_coding","2L",21310866,21319527
"FBgn0000376","crm","cramped","protein_coding","X",2734248,2738773
"FBgn0000377","crn","crooked neck","protein_coding","X",2247594,2249983
"FBgn0000382","csw","corkscrew","protein_coding","X",2094234,2115701
"FBgn0000384","cta","concertina","protein_coding","2L",22981816,22992951
"FBgn0000392","cup","cup","protein_coding","2L",6663664,6674780
"FBgn0000394","cv","crossveinless","protein_coding","X",5690002,5693084
"FBgn0000395","cv-2","crossveinless 2","protein_coding","2R",21355015,21379464
"FBgn0000404","CycA","Cyclin A","protein_coding","3L",11826719,11833578
"FBgn0000405","CycB","Cyclin B","protein_coding","2R",22803521,22806948
"FBgn0000406","Cyt-b5-r","Cytochrome b5-related","protein_coding","2L",16788774,16790721
"FBgn0000411","D","Dichaete","protein_coding","3L",14175610,14178620
"FBgn0000412","D1","D1 chromosomal protein","protein_coding","3R",9238083,9240654
"FBgn0000414","Dab","Disabled","protein_coding","3L",16712126,16724575
"FBgn0000416","Sap-r","Saposin-related","protein_coding","3R",30883464,30889062
"FBgn0000422","Ddc","Dopa decarboxylase","protein_coding","2L",19116483,19120306
"FBgn0000426","SmF","Small ribonucleoprotein particle protein SmF","protein_coding","2R",12183844,12184310
"FBgn0000427","dec","defective chorion","protein_coding","X",7867161,7873222
"FBgn0000439","Dfd","Deformed","protein_coding","3R",6791836,6802428
"FBgn0000442","Pkg21D","Protein kinase, cGMP-dependent at 21D","protein_coding","2L",786153,790798
"FBgn0000447","Dhod","Dihydroorotate dehydrogenase","protein_coding","3R",8651391,8652916
"FBgn0000448","Hr3","Hormone receptor 3","protein_coding","2R",10203995,10237348
"FBgn0000449","dib","disembodied","protein_coding","3L",4062292,4064551
"FBgn0000451","ect","ectodermal","protein_coding","3L",10190276,10201837
"FBgn0000454","Dip-B","Dipeptidase B","protein_coding","3R",13782288,13785676
"FBgn0000455","Dip-C","Dipeptidase C","protein_coding","3R",12411809,12413759
"FBgn0000459","disco","disconnected","protein_coding","X",16210598,16216750
"FBgn0000463","Delta","Delta","protein_coding","3R",19302731,19326217
"FBgn0000464","Lar","Leukocyte-antigen-related-like","protein_coding","2L",19586623,19732069
"FBgn0000473","Cyp6a2","Cytochrome P450 6a2","protein_coding","2R",6779749,6781491
"FBgn0000477","DNaseII","Deoxyribonuclease II","protein_coding","3R",18019375,18021161
"FBgn0000479","dnc","dunce","protein_coding","X",3176440,3343767
"FBgn0000482","dor","deep orange","protein_coding","X",1665052,1668451
"FBgn0000489","Pka-C3","Protein kinase, cAMP-dependent, catalytic subunit 3","protein_coding","3L",15925805,15954797
"FBgn0000490","dpp","decapentaplegic","protein_coding","2L",2428372,2459823
"FBgn0000492","Dr","Drop","protein_coding","3R",29556386,29565244
"FBgn0000499","dsh","dishevelled","protein_coding","X",11355881,11358724
"FBgn0000500","Dsk","Drosulfakinin","protein_coding","3R",4189692,4190260
"FBgn0000504","dsx","doublesex","protein_coding","3R",7924323,7967408
"FBgn0000520","dwg","deformed wings","protein_coding","X",2727698,2730042
"FBgn0000524","dx","deltex","protein_coding","X",6533999,6538575
"FBgn0000527","e","ebony","protein_coding","3R",21229839,21237177
"FBgn0000529","bsh","brain-specific homeobox","protein_coding","2L",19765776,19769067
"FBgn0000533","ea","easter","protein_coding","3R",15328729,15330408
"FBgn0000535","eag","ether a go-go","protein_coding","X",14955477,15009989
"FBgn0000536","eas","easily shocked","protein_coding","X",16278328,16285618
"FBgn0000541","E(bx)","Enhancer of bithorax","protein_coding","3L",233926,246912
"FBgn0000542","ec","echinus","protein_coding","X",3811698,3857621
"FBgn0000543","ecd","ecdysoneless","protein_coding","3L",2263581,2265857
"FBgn0000546","EcR","Ecdysone receptor","protein_coding","2R",6087873,6169087
"FBgn0000547","ed","echinoid","protein_coding","2L",4031377,4115749
"FBgn0000551","Edg78E","Ecdysone-dependent gene 78E","protein_coding","3L",21296763,21297803
"FBgn0000552","Edg84A","Ecdysone-dependent gene 84A","protein_coding","3R",6684445,6685157
"FBgn0000557","eEF1alpha2","eukaryotic translation elongation factor 1 alpha 2","protein_coding","3R",31738468,31743306
"FBgn0000559","eEF2","eukaryotic translation elongation factor 2","protein_coding","2L",21677913,21682164
"FBgn0000560","eg","eagle","protein_coding","3L",21808703,21817600
"FBgn0000562","egl","egalitarian","protein_coding","2R",23734904,23746829
"FBgn0000564","Eh","Eclosion hormone","protein_coding","3R",17446642,17448858
"FBgn0000565","MsrA","Methionine sulfoxide reductase A","protein_coding","3L",15511052,15513202
"FBgn0000566","Cth","Cystathionine gamma-lyase","protein_coding","2R",18627918,18629395
"FBgn0000567","Eip74EF","Ecdysone-induced protein 74EF","protein_coding","3L",17558672,17619325
"FBgn0000568","Eip75B","Ecdysone-induced protein 75B","protein_coding","3L",17950953,18064696
"FBgn0000575","emc","extra macrochaetae","protein_coding","3L",749400,753492
"FBgn0000576","ems","empty spiracles","protein_coding","3R",13901853,13904620
"FBgn0000577","en","engrailed","protein_coding","2R",11524006,11528210
"FBgn0000578","ena","enabled","protein_coding","2R",19141632,19163705
"FBgn0000579","Eno","Enolase","protein_coding","2L",1724768,1729636
"FBgn0000581","E(Pc)","Enhancer of Polycomb","protein_coding","2R",11452043,11465270
"FBgn0000588","esc","extra sexcombs","protein_coding","2L",11827204,11829405
"FBgn0000591","E(spl)m8-HLH","Enhancer of split m8, helix-loop-helix","protein_coding","3R",26040240,26041008
"FBgn0000592","Est-6","Esterase 6","protein_coding","3L",12188818,12190705
"FBgn0000594","Est-P","Esterase P","protein_coding","3L",12190733,12192528
"FBgn0000606","eve","even skipped","protein_coding","2R",9979319,9980795
"FBgn0000611","exd","extradenticle","protein_coding","X",15992468,15996509
"FBgn0000615","exu","exuperantia","protein_coding","2R",20667427,20671083
"FBgn0000617","Taf9","TBP-associated factor 9","protein_coding","X",17842161,17843348
"FBgn0000618","e(y)2","enhancer of yellow 2","protein_coding","X",11576118,11576620
"FBgn0000625","eyg","eyegone","protein_coding","3L",12462537,12468021
"FBgn0000629","E(z)","Enhancer of zeste","protein_coding","3L",10634575,10638130
"FBgn0000633","tei","teiresias","protein_coding","2R",13623044,13749367
"FBgn0000635","Fas2","Fasciclin 2","protein_coding","X",4132887,4206093
"FBgn0000636","Fas3","Fasciclin 3","protein_coding","2L",18320102,18393441
"FBgn0000639","Fbp1","Fat body protein 1","protein_coding","3L",14094589,14098053
"FBgn0000640","Fbp2","Fat body protein 2","protein_coding","2L",9426784,9427917
"FBgn0000644","Fcp3C","Follicle cell protein 3C","protein_coding","X",3173376,3174474
"FBgn0000658","fj","four-jointed","protein_coding","2R",18232761,18236311
"FBgn0000659","fkh","fork head","protein_coding","3R",28580976,28585264
"FBgn0000662","fl(2)d","female lethal d","protein_coding","2R",13819624,13824553
"FBgn0000667","Actn","alpha actinin","protein_coding","X",2023822,2042311
"FBgn0000709","fliI","flightless I","protein_coding","X",21339741,21345088
"FBgn0000711","flw","flapwing","protein_coding","X",10385960,10409817
"FBgn0000715","FMRFa","FMRFamide","protein_coding","2R",9906294,9910457
"FBgn0000719","fog","folded gastrulation","protein_coding","X",22824317,22855194
"FBgn0000721","for","foraging","protein_coding","2L",3622074,3656953
"FBgn0000723","FER","FER tyrosine kinase","protein_coding","3R",9367603,9394546
"FBgn0000808","gd","gastrulation-defective","protein_coding","X",11985154,11987764
"FBgn0000810","fs(1)K10","female sterile (1) K10","protein_coding","X",2242138,2246041
"FBgn0000826","png","pan gu","protein_coding","X",1356488,1357601
"FBgn0000927","fs(1)Ya","female sterile (1) Young arrest","protein_coding","X",2724286,2726577
"FBgn0000928","fs(1)Yb","female sterile (1) Yb","protein_coding","X",2720468,2724158
"FBgn0000964","tj","traffic jam","protein_coding","2L",19464267,19467758
"FBgn0000996","dup","double parked","protein_coding","2R",15376619,15380988
"FBgn0001075","ft","fat","protein_coding","2L",4198404,4221796
"FBgn0001077","ftz","fushi tarazu","protein_coding","3R",6864324,6866244
"FBgn0001078","ftz-f1","ftz transcription factor 1","protein_coding","3L",18750607,18801309
"FBgn0001079","fu","fused","protein_coding","X",18657755,18661204
"FBgn0001083","fw","furrowed","protein_coding","X",11992915,12003914
"FBgn0001084","fy","fuzzy","protein_coding","2L",8401476,8403280
"FBgn0001085","fz","frizzled","protein_coding","3L",14274343,14368639
"FBgn0001086","fzy","fizzy","protein_coding","2L",16310956,16313097
"FBgn0001087","g","garnet","protein_coding","X",13727204,13736278
"FBgn0001089","Gal","beta galactosidase","protein_coding","2L",6003574,6006827
"FBgn0001090","bnb","bangles and beads","protein_coding","X",18794246,18797687
"FBgn0001091","Gapdh1","Glyceraldehyde 3 phosphate dehydrogenase 1","protein_coding","2R",7791901,7793380
"FBgn0001092","Gapdh2","Glyceraldehyde 3 phosphate dehydrogenase 2","protein_coding","X",15868145,15869661
"FBgn0001098","Gdh","Glutamate dehydrogenase","protein_coding","3R",23935958,23943101
"FBgn0001099","gdl","gonadal","protein_coding","3L",15509445,15511047
"FBgn0001104","Galphai","G protein alpha subunit i","protein_coding","3L",6972750,6980044
"FBgn0001105","Gbeta13F","G protein beta subunit 13F","protein_coding","X",15860115,15866175
"FBgn0001108","DCTN1-p150","Dynactin 1, p150 subunit","protein_coding","3L",13929387,13934656
"FBgn0001112","Gld","Glucose dehydrogenase","protein_coding","3R",7252063,7265703
"FBgn0001114","Glt","Glutactin","protein_coding","2L",8672698,8676804
"FBgn0001120","gnu","giant nuclei","protein_coding","3L",14802380,14803360
"FBgn0001122","Galphao","G protein alpha subunit o","protein_coding","2R",10437985,10465701
"FBgn0001123","Galphas","G protein alpha subunit s","protein_coding","2R",23942538,23946936
"FBgn0001124","Got1","Glutamate oxaloacetate transaminase 1","protein_coding","2R",16138352,16141928
"FBgn0001125","Got2","Glutamate oxaloacetate transaminase 2","protein_coding","2L",1984512,1987758
"FBgn0001128","Gpdh1","Glycerol-3-phosphate dehydrogenase 1","protein_coding","2L",5943643,5948968
"FBgn0001133","grau","grauzone","protein_coding","2R",21009764,21011921
"FBgn0001134","Grd","Glycine receptor","protein_coding","3L",17823333,17839767
"FBgn0001137","grk","gurken","protein_coding","2L",8431086,8433598
"FBgn0001138","grn","grain","protein_coding","3R",8147368,8181444
"FBgn0001139","gro","groucho","protein_coding","3R",26041736,26049911
"FBgn0001142","Gs1","Glutamine synthetase 1","protein_coding","2L",132077,134472
"FBgn0001145","Gs2","Glutamine synthetase 2","protein_coding","X",11422832,11430197
"FBgn0001147","gsb-n","gooseberry-neuro","protein_coding","2R",25040383,25052331
"FBgn0001148","gsb","gooseberry","protein_coding","2R",25061964,25064643
"FBgn0001149","GstD1","Glutathione S transferase D1","protein_coding","3R",12367817,12369268
"FBgn0001150","gt","giant","protein_coding","X",2427113,2428967
"FBgn0001168","hry","hairy","protein_coding","3L",8675759,8679253
"FBgn0001169","H","Hairless","protein_coding","3R",20621938,20628915
"FBgn0001170","H2.0","Homeodomain protein 2.0","protein_coding","2L",6013059,6019402
"FBgn0001174","halo","halo","protein_coding","2L",1517533,1518148
"FBgn0001179","hay","haywire","protein_coding","3L",10631079,10633969
"FBgn0001180","hb","hunchback","protein_coding","3R",8690980,8697822
"FBgn0001185","her","hermaphrodite","protein_coding","2L",16677185,16679691
"FBgn0001186","Hex-A","Hexokinase A","protein_coding","X",9585675,9589813
"FBgn0001187","Hex-C","Hexokinase C","protein_coding","2R",15218837,15220329
"FBgn0001189","hfw","halfway","protein_coding","X",1669570,1673608
"FBgn0001197","His2Av","Histone H2A variant","protein_coding","3R",26866929,26869220
"FBgn0001202","hook","hook","protein_coding","2L",19030844,19033498
"FBgn0001206","Hmr","Hybrid male rescue","protein_coding","X",10590920,10595855
"FBgn0001208","Hn","Henna","protein_coding","3L",7760453,7763166
"FBgn0001215","Hrb98DE","Heterogeneous nuclear ribonucleoprotein at 98DE","protein_coding","3R",28599834,28605777
"FBgn0001216","Hsc70-1","Heat shock protein 70 cognate 1","protein_coding","3L",13974061,13977761
"FBgn0001217","Hsc70-2","Heat shock protein 70 cognate 2","protein_coding","3R",13044759,13047388
"FBgn0001218","Hsc70-3","Heat shock protein 70 cognate 3","protein_coding","X",11801696,11807117
"FBgn0001220","Hsc70-5","Heat shock protein 70 cognate 5","protein_coding","2R",14252598,14256192
"FBgn0001222","Hsf","Heat shock factor","protein_coding","2R",18130303,18134634
"FBgn0001223","Hsp22","Heat shock protein 22","protein_coding","3L",9372931,9374964
"FBgn0001224","Hsp23","Heat shock protein 23","protein_coding","3L",9381882,9382765
"FBgn0001225","Hsp26","Heat shock protein 26","protein_coding","3L",9376418,9377427
"FBgn0001226","Hsp27","Heat shock protein 27","protein_coding","3L",9384063,9385694
"FBgn0001227","Hsp67Ba","Heat shock gene 67Ba","protein_coding","3L",9377802,9379534
"FBgn0001228","CG4456","","protein_coding","3L",9372722,9374964
"FBgn0001229","Hsp67Bc","Heat shock gene 67Bc","protein_coding","3L",9371511,9372497
"FBgn0001230","Hsp68","Heat shock protein 68","protein_coding","3R",24055080,24057310
"FBgn0001233","Hsp83","Heat shock protein 83","protein_coding","3L",3192969,3197059
"FBgn0001234","lncRNA:Hsromega","Heat shock RNA omega","ncRNA","3R",21296127,21317836
"FBgn0001235","hth","homothorax","protein_coding","3R",10507561,10639568
"FBgn0001247","Ide","Insulin degrading metalloproteinase","protein_coding","3L",20371672,20375896
"FBgn0001248","Idh","Isocitrate dehydrogenase","protein_coding","3L",8356404,8360906
"FBgn0001250","if","inflated","protein_coding","X",16752189,16783434
"FBgn0001253","ImpE1","Ecdysone-inducible gene E1","protein_coding","3L",8372405,8391171
"FBgn0001254","ImpE2","Ecdysone-inducible gene E2","protein_coding","3L",3510974,3512681
"FBgn0001255","ImpE3","Ecdysone-inducible gene E3","protein_coding","3R",8028453,8029546
"FBgn0001256","ImpL1","Ecdysone-inducible gene L1","protein_coding","3L",13382765,13383999
"FBgn0001257","ImpL2","Ecdysone-inducible gene L2","protein_coding","3L",4224006,4236147
"FBgn0001258","Ldh","Lactate dehydrogenase","protein_coding","3L",6259105,6262694
"FBgn0001259","in","inturned","protein_coding","3L",20367198,20370259
"FBgn0001263","inaD","inactivation no afterpotential D","protein_coding","2R",22855688,22858794
"FBgn0001269","inv","invected","protein_coding","2R",11474465,11509695
"FBgn0001276","ix","intersex","protein_coding","2R",11359437,11360163
"FBgn0001280","janA","janus A","protein_coding","3R",30038622,30039533
"FBgn0001281","janB","janus B","protein_coding","3R",30037984,30038728
"FBgn0001285","Jon44E","Jonah 44E","protein_coding","2R",8691448,8692844
"FBgn0001291","Jra","Jun-related antigen","protein_coding","2R",10096480,10098556
"FBgn0001296","kar","karmoisin","protein_coding","3R",12682186,12689367
"FBgn0001297","kay","kayak","protein_coding","3R",29765995,29794113
"FBgn0001301","kel","kelch","protein_coding","2L",18129884,18138083
"FBgn0001308","Khc","Kinesin heavy chain","protein_coding","2R",16266960,16271971
"FBgn0001311","kkv","krotzkopf verkehrt","protein_coding","3R",5378093,5392866
"FBgn0001313","kl-2","male fertility factor kl2","protein_coding","Y",573088,664173
"FBgn0001316","klar","klarsicht","protein_coding","3L",434083,540614
"FBgn0001319","kn","knot","protein_coding","2R",14772650,14807061
"FBgn0001320","kni","knirps","protein_coding","3L",20692330,20695378
"FBgn0001321","knk","knickkopf","protein_coding","3R",10122365,10125664
"FBgn0001323","knrl","knirps-like","protein_coding","3L",20597141,20620659
"FBgn0001324","kto","kohtalo","protein_coding","3L",19836614,19844944
"FBgn0001325","Kr","Kruppel","protein_coding","2R",25226611,25231394
"FBgn0001330","kz","kurz","protein_coding","X",2237858,2242035
"FBgn0001341","Mybbp1A","MYB binding protein 1a","protein_coding","X",629773,633633
"FBgn0001404","egh","egghead","protein_coding","X",2588503,2599111
"FBgn0001491","l(1)10Bb","lethal (1) 10Bb","protein_coding","X",11324294,11325308
"FBgn0001565","Ddx56","DEAD-box helicase 56","protein_coding","X",21385518,21387946
"FBgn0001612","Grip91","Gamma-tubulin ring protein 91","protein_coding","X",13736570,13744683
"FBgn0001624","dlg1","discs large 1","protein_coding","X",11369665,11409776
"FBgn0001941","ifc","infertile crescent","protein_coding","2L",5986348,5988854
"FBgn0001942","eIF4A","eukaryotic translation initiation factor 4A","protein_coding","2L",5981764,5985909
"FBgn0001961","Arpc1","Actin-related protein 2/3 complex, subunit 1","protein_coding","2L",13827941,13829741
"FBgn0001965","Sos","Son of sevenless","protein_coding","2L",13813816,13819824
"FBgn0001967","NimC3","Nimrod C3","protein_coding","2L",14019357,14020208
"FBgn0001970","Pgant35A","Polypeptide N-acetylgalactosaminyltransferase 35A","protein_coding","2L",14359252,14361411
"FBgn0001977","CIAPIN1","Cytokine induced apoptosis inhibitor 1","protein_coding","2L",15036293,15038861
"FBgn0001978","stc","shuttle craft","protein_coding","2L",15113480,15118069
"FBgn0001983","wor","worniu","protein_coding","2L",15423297,15425580
"FBgn0001986","Mtr4","Mtr4 helicase","protein_coding","2L",15752263,15755900
"FBgn0001987","Gli","Gliotactin","protein_coding","2L",15756002,15762758
"FBgn0001989","ND-B17","NADH dehydrogenase (ubiquinone) B17 subunit","protein_coding","2L",15749319,15751078
"FBgn0001990","wek","weckle","protein_coding","2L",15766133,15768349
"FBgn0001991","Ca-alpha1D","Ca[2+]-channel protein alpha[[1]] subunit D","protein_coding","2L",16165831,16190540
"FBgn0001992","Cyp303a1","Cytochrome P450 303a1","protein_coding","2L",16294183,16296969
"FBgn0001994","crp","cropped","protein_coding","2L",16263556,16287730
"FBgn0001995","mRpL4","mitochondrial ribosomal protein L4","protein_coding","2L",16328059,16329132
"FBgn0002021","l(2)37Bb","lethal (2) 37Bb","protein_coding","2L",19049843,19051612
"FBgn0002022","Catsup","Catecholamines up","protein_coding","2L",19041862,19043614
"FBgn0002023","Lim3","Lim3","protein_coding","2L",19079256,19108427
"FBgn0002031","Phb1","Prohibitin 1","protein_coding","2L",19121345,19123869
"FBgn0002036","CG10561","","protein_coding","2L",19114401,19116570
"FBgn0002044","swm","second mitotic wave missing","protein_coding","2L",19493251,19497978
"FBgn0002069","AspRS","Aspartyl-tRNA synthetase","protein_coding","2R",12877004,12883168
"FBgn0002121","l(2)gl","lethal (2) giant larvae","protein_coding","2L",9839,21376
"FBgn0002174","CG5504","DnaJ heat shock protein family (Hsp40) member A3 [Source:MGI Symbol;Acc:MGI:1933786]","protein_coding","2R",23706913,23709026
"FBgn0002183","dre4","dre4","protein_coding","3L",1871574,1876312
